מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L3002,1613858,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3002,1613860,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3002,1613862,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3002,1625505,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,L3
L3002,1752740,Electrical Fixtures,Normal x1,Frame_Socket,L3
L3002,1752743,Electrical Fixtures,Normal x1,Frame_Socket,L3
L3002,3952805,Electrical Fixtures,Type 2,Frame_Socket,L3
L3002,3952907,Electrical Fixtures,Type 2,Frame_Socket,L3
L3002,3956270,Electrical Fixtures,Type 2,Frame_Socket,L3
L3002,3956352,Electrical Fixtures,Type 2,Frame_Socket,L3
L3002,3997832,Electrical Fixtures,1 AC,Frame_Socket,L3
L3002,3997835,Electrical Fixtures,1 AC,Frame_Socket,L3
L3002,11106025,Mechanical Equipment,AWSQ 1000,AWSQ 1000(right),L3
L3002,11106033,Mechanical Equipment,AWSQ 1500,AWSQ 1500(right),L3
L3003,1613866,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3003,1613867,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3003,1752518,Electrical Fixtures,Normal x1 WP,Frame_Socket,L3
L3003,3881270,Electrical Fixtures,Type 2,Frame_Socket,L3
L3003,3881412,Electrical Fixtures,Type 2,Frame_Socket,L3
L3003,3881494,Electrical Fixtures,Type 2,Frame_Socket,L3
L3004,1752558,Electrical Fixtures,Normal x2,Frame_Socket,L3
L3006,1613816,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3006,1613817,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3006,11106016,Mechanical Equipment,AW 800,AW 800(right),L3
L3008,1613821,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3008,1613824,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3008,1714278,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L3
L3008,1714279,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L3
L3008,1716803,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3008,1716805,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3008,1716807,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3008,1716808,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3008,1716809,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
