מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
P2001,2293448,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2003,1742225,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P2
P2003,2031598,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2003,2031689,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2003,2259102,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2003,3058836,Lighting Fixtures,700 24h,פס לד שקוע,P2
P2003,3058847,Lighting Fixtures,151 24h,פס לד שקוע,P2
P2003,3058849,Lighting Fixtures,151 24h,פס לד שקוע,P2
P2003,3058851,Lighting Fixtures,151 24h,פס לד שקוע,P2
P2003,3058853,Lighting Fixtures,151 24h,פס לד שקוע,P2
P2003,3058855,Lighting Fixtures,151 24h,פס לד שקוע,P2
P2003,3058857,Lighting Fixtures,151 24h,פס לד שקוע,P2
P2004,1439841,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P2
P2004,1439842,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P2
P2004,1439843,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P2
P2004,1439844,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P2
P2004,4071973,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2004,4319822,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2004,4319863,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2004,5957986,Mechanical Equipment,AW 1200,AW 1200,P2
P2004,9468279,Mechanical Equipment,AW 1200,AW 1200,P2
P2005,2358177,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2006,2259098,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2009,1402595,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,P2
P2009,4319709,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2012,2307255,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,P2
P2012,4319768,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2015,1742194,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2015,1742213,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P2
P2015,1743212,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2015,1743213,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2015,1745814,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2015,1745819,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2018,2666636,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P2
P2019,1743217,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2019,4073753,Electrical Fixtures,Normal x2 WP,Frame_Socket,P2
P2023,1742222,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P2
P2023,1743232,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2023,1743233,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2023,1746113,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2023,1746275,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P2
P2023,2383219,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2024,1743238,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2024,2263687,Electrical Fixtures,Normal x2 WP,Frame_Socket,P2
P2025,1439839,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P2
P2025,1439840,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P2
P2025,1439845,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P2
P2025,1439846,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P2
P2025,4072252,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2025,4319665,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2025,4319690,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2025,5979553,Mechanical Equipment,AW 1200,AW 1200,P2
P2025,9467178,Mechanical Equipment,AW 1200,AW 1200,P2
P2030,1402598,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,P2
P2030,4319640,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P2
P2033,2259227,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2036,2355698,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P2
P2037,2259042,Electrical Fixtures,W,M_Junction Boxes - W,P2
P2037,4072588,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2037,4072590,Electrical Fixtures,Normal x2,Frame_Socket,P2
P2038,1742202,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742204,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742211,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742215,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742216,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742219,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742223,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742224,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742231,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742232,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742233,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742235,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742238,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P2
P2038,1742935,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742986,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742988,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742989,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742990,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742992,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742994,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742995,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1742996,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743018,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743033,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743103,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P2
P2038,1743138,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743139,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P2
P2038,1743163,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743174,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743175,Lighting Fixtures,42W 4000K,סי לד 6600,P2
P2038,1743176,Lighting Fixtures,42W 4000K,סי לד 6600,P2
