מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
P3077,1728117,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3077,1728118,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3077,2265113,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3009,1728123,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3009,1728124,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3009,2265005,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3009,2666864,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P3
P3009,2667043,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P3
P3009,2667139,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P3
P3020,2274165,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3084,2120726,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3084,4070969,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3004,1728102,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3004,1728103,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3004,1728104,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3004,1728105,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3004,2121783,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3004,2262139,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3021,1727881,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3021,1727882,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3021,1728176,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3021,2262070,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3021,2262116,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3021,2262117,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3021,2262118,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3021,2262119,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3021,3128238,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3021,3128508,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3021,3128509,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3021,3128510,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3021,3128516,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3021,3128530,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3021,3128531,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3021,3128532,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3021,3128536,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3021,4070847,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3021,4070895,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3100,3067163,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3100,3067189,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3100,3067200,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3100,4071127,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3052,2262111,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3052,3067106,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3052,3067139,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3052,3067148,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3059,1727863,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3059,1727864,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3059,2262110,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3080,2264701,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3085,1728168,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3085,1728174,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3085,1728829,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3085,2262107,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3085,3067920,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3067939,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3067947,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3067957,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3067965,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3067973,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3067983,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
